#TF	target
Ino4	YGR254W
Ino4	YGR254W
Ino4	YDR101C
Ino4	YCR084C
Ino4	YBR106W
Ino4	YNL141W
Ino4	YLR168C
Ino4	YLR168C
Ino4	YDR498C
Ino4	YDR273W
Ino4	YJL149W
Ino4	YDR285W
Ino4	YER033C
Ino4	YGR200C
Ino4	YDR067C
Ino4	YDR532C
Ino4	YJR133W
Ino4	YML017W
Ino4	YJR073C
Ino4	YJR073C
Ino4	YMR124W
Ino4	YHR006W
Ino4	YPR171W
Ino4	YNL009W
Ino4	YNL009W
Ino4	YOR021C
Ino4	YGL184C
Ino4	YOL024W
Ino4	YGL116W
Ino4	YBR007C
Ino4	YKL219W
Ino4	YOR344C
Ino4	YEL040W
Ino4	YGR217W
Ino4	YHR028C
Ino4	YBR029C
Ino4	YBR029C
Ino4	YGR075C
Ino4	YOR152C
Ino4	YDL136W
Ino4	YOR340C
Ino4	YLR351C
Ino4	YDR375C
Ino4	YEL072W
Ino4	YGR098C
Ino4	YDR146C
Ino4	YJL117W
Ino4	YOR043W
Ino4	YDR312W
Ino4	YDR050C
Ino4	YNL306W
Ino4	YPL187W
Ino4	YAL054C
Ino4	YDR384C
Ino4	YCL002C
Ino4	YCR031C
Ino4	YMR125W
Ino4	YLR352W
Ino4	YNL129W
Ino4	YGR040W
Ino4	YOR044W
Ino4	YJR103W
Ino4	YJR103W
Ino4	YPR112C
Ino4	YBR083W
Ino4	YHR035W
Ino4	YGR169C
Ino4	YDL243C
Ino4	YDR341C
Ino4	YFR053C
Ino4	YIL098C
Ino4	YJR118C
Ino4	YHL020C
Ino4	YHL020C
Ino4	YBL001C
Ino4	YJR128W
Ino4	YKL040C
Ino4	YKL057C
Ino4	YMR194C-B
Ino4	YML076C
Ino4	YMR257C
Ino4	YDL080C
Ino4	YDL049C
Ino4	YDL124W
Ino4	YPL176C
Ino4	YNL066W
Ino4	YGL115W
Ino4	YER091C
Ino4	YEL037C
Ino4	YJL060W
Ino4	YOL003C
Ino4	YEL005C
Ino4	YKL039W
Ino4	YOR298W
Ino4	YHR179W
Ino4	YCR093W
Ino4	YOR284W
Ino4	YMR135W-A
Ino4	YLR416C
Ino4	YNL080C
Ino4	YLR069C
Ino4	YNL180C
Ino4	YKR008W
Ino4	YJL118W
Ino4	YNL130C
Ino4	YOL124C
Ino4	YNL131W
Ino4	YNL312W
Ino4	YCR096C
Ino4	YMR194W
Ino4	YOR004W
Ino4	YAL053W
Ino4	YDR323C
Ino4	tF(GAA)P2
Ino4	YNL104C
Ino4	YEL070W
Ino4	YIL013C
Ino4	YOR185C
Ino4	YIL037C
Ino4	YGR258C
Ino4	YDR257C
Ino4	YPL231W
Ino4	YPL231W
Ino4	YBL059C-A
Ino4	YLR172C
Ino4	YHR033W
Ino4	YHR201C
Ino4	YDR452W
